ID,GO
PBANKA_0314700,GO:0003677
PBANKA_1117000,GO:0003677
PBANKA_0520600,GO:0006221
PBANKA_0718700,GO:0005739
PBANKA_1309400,GO:0003676
PBANKA_1319200,GO:0005794
PBANKA_0416100,GO:0003777
PBANKA_1419700,GO:0008270
PBANKA_0714800,GO:0005730
PBANKA_0405200,GO:0051082
PBANKA_0106100,GO:0005739
PBANKA_1217300,GO:0003975
PBANKA_0214400,GO:0006355
PBANKA_0919800,GO:0008299
PBANKA_1304100,GO:0004655
PBANKA_1117100,GO:0046982
PBANKA_1231300,GO:0005215
PBANKA_1226800,GO:0005524
PBANKA_0931400,GO:0016020
PBANKA_0524200,GO:0044164
PBANKA_0315100,GO:0003676
PBANKA_1422400,GO:0008536
PBANKA_0930300,GO:0007264
PBANKA_0609500,GO:0005524
PBANKA_0408200,GO:0004672
PBANKA_1329300,GO:0006412
PBANKA_1228200,GO:0019551
PBANKA_0708800,GO:0006412
PBANKA_1102800,GO:0016114
PBANKA_1322800,GO:0005525
PBANKA_0316000,GO:0005524
PBANKA_0915600,GO:0005886
PBANKA_0831000,GO:0005886
PBANKA_0107400,GO:0030170
PBANKA_1356900,GO:0000398
PBANKA_0406500,GO:0006457
PBANKA_1220000,GO:0003677
PBANKA_1141200,GO:0020011
PBANKA_0814400,GO:0006414
PBANKA_1131100,GO:0004019
PBANKA_0312400,GO:0003899
PBANKA_1431700,GO:0005737
PBANKA_1205000,GO:0003676
PBANKA_1139300,GO:0005840
PBANKA_1127700,GO:0004514
PBANKA_1109000,GO:0003899
PBANKA_1112300,GO:0005622
PBANKA_0308000,GO:0016020
PBANKA_1338300,GO:0019843
PBANKA_0929900,GO:0006457
PBANKA_1416700,GO:0004366
PBANKA_1355000,GO:0042626
PBANKA_0926700,GO:0006749
PBANKA_1323700,GO:0020020
PBANKA_1322100,GO:0008483
PBANKA_0416500,GO:0005507
PBANKA_1211900,GO:0005543
PBANKA_0307000,GO:0003735
PBANKA_0826500,GO:0016575
PBANKA_1439500,GO:0004408
PBANKA_0824400,GO:0016538
PBANKA_1323700,GO:0046872
PBANKA_1453700,GO:0006355
PBANKA_1223900,GO:0005634
PBANKA_0506500,GO:0030001
PBANKA_1356200,GO:0008168
PBANKA_0300800,GO:0005737
PBANKA_1128600,GO:0006511
PBANKA_1134600,GO:0006508
PBANKA_0311800,GO:0003824
PBANKA_1019800,GO:0006468
PBANKA_1464200,GO:0006233
PBANKA_1409800,GO:0046961
PBANKA_1403300,GO:0005634
PBANKA_0417500,GO:0006412
PBANKA_0939100,GO:0006355
PBANKA_1435200,GO:0046872
PBANKA_1027700,GO:0006284
PBANKA_0719900,GO:0005524
PBANKA_0518200,GO:0016627
PBANKA_1419400,GO:0004672
PBANKA_0906600,GO:0055114
PBANKA_0101200,GO:0020011
PBANKA_0932100,GO:0070258
PBANKA_0406800,GO:0005634
PBANKA_1227100,GO:0032040
PBANKA_0208800,GO:0036459
PBANKA_1103400,GO:0005622
PBANKA_0509200,GO:0005509
PBANKA_1334100,GO:0004298
PBANKA_0706500,GO:0008408
PBANKA_1020200,GO:0000413
PBANKA_1017100,GO:0006298
PBANKA_1115500,GO:0005737
PBANKA_0202700,GO:0005871
PBANKA_1214300,GO:0009986
PBANKA_1018100,GO:0005319
PBANKA_0102600,GO:0005813
PBANKA_1130500,GO:0005839
PBANKA_1414100,GO:0008654
PBANKA_0823800,GO:0020011
PBANKA_1140900,GO:0006412
PBANKA_1135100,GO:0005622
PBANKA_0915900,GO:0006836
PBANKA_1003300,GO:0016021
PBANKA_0812800,GO:0003924
PBANKA_0207400,GO:0008408
PBANKA_MIT01900,GO:0016020
PBANKA_0510600,GO:0000910
PBANKA_1219400,GO:0006825
PBANKA_0404100,GO:0004518
PBANKA_1022800,GO:0005737
PBANKA_0808200,GO:0004298
PBANKA_0418000,GO:0005524
PBANKA_0305600,GO:0006633
PBANKA_1318700,GO:0006470
PBANKA_1221200,GO:0006412
PBANKA_0519800,GO:0008521
PBANKA_1020400,GO:0030687
PBANKA_1130100,GO:0006355
PBANKA_1035300,GO:0008173
PBANKA_0603800,GO:0097056
PBANKA_1363500,GO:0008168
PBANKA_1352900,GO:0005840
PBANKA_0940900,GO:0005737
PBANKA_1203300,GO:0005737
PBANKA_0807400,GO:0005838
PBANKA_1207300,GO:0004164
PBANKA_1027000,GO:0016740
PBANKA_1449900,GO:0008270
PBANKA_1455600,GO:0008479
PBANKA_0309100,GO:0016149
PBANKA_1434700,GO:0005198
PBANKA_1006200,GO:0045177
PBANKA_0417700,GO:0005737
PBANKA_1036200,GO:0005737
PBANKA_1015300,GO:0006396
PBANKA_API00330,GO:0006412
PBANKA_1349400,GO:0006260
PBANKA_1141500,GO:0016021
PBANKA_0509800,GO:0005507
PBANKA_1017900,GO:0006099
PBANKA_0306700,GO:0006836
PBANKA_1133200,GO:0004672
PBANKA_0518800,GO:0001522
PBANKA_0715900,GO:0008242
PBANKA_0910600,GO:0002143
PBANKA_0810400,GO:0036066
PBANKA_0913800,GO:0032549
PBANKA_0301200,GO:0004519
PBANKA_1318800,GO:0005634
PBANKA_0817700,GO:0043186
PBANKA_0407200,GO:0005634
PBANKA_1360000,GO:0003917
PBANKA_1440700,GO:0005737
PBANKA_1432300,GO:0030260
PBANKA_1345700,GO:0006506
PBANKA_0417700,GO:0005200
PBANKA_0911700,GO:0004252
PBANKA_1427400,GO:0006412
PBANKA_1038900,GO:0007076
PBANKA_0505700,GO:0004004
PBANKA_0820400,GO:0016021
PBANKA_0719300,GO:0004799
PBANKA_1418700,GO:0008233
PBANKA_1457500,GO:0005634
PBANKA_1235600,GO:0004013
PBANKA_1141300,GO:0004047
PBANKA_0831200,GO:0004143
PBANKA_0929500,GO:0006355
PBANKA_1129100,GO:0003887
PBANKA_1225400,GO:0048870
