ID,GO
PF3D7_1008700,GO:0043234
PF3D7_1141900,GO:0020038
PF3D7_1402100,GO:0003723
PF3D7_0905800,GO:0005634
PF3D7_1041100,GO:0020002
PF3D7_0524700,GO:0005739
PF3D7_0619000,GO:0005201
PF3D7_1119300,GO:0005686
PF3D7_0612100,GO:0003743
PF3D7_0811000,GO:0019005
PF3D7_1411400,GO:0003697
PF3D7_1213800,GO:0005737
PF3D7_1448600,GO:0016192
PF3D7_1242300,GO:0005886
PF3D7_0115400,GO:0016020
PF3D7_1136500,GO:0005515
PF3D7_1237000,GO:0005783
PF3D7_0204600,GO:0008270
PF3D7_0813300,GO:0005634
PF3D7_1037300,GO:0055085
PF3D7_1452500,GO:0031201
PF3D7_0815900,GO:0050660
PF3D7_1413200,GO:0000166
PF3D7_1451700,GO:0005955
PF3D7_0520700,GO:0006350
PF3D7_1101600,GO:0030430
PF3D7_1014100,GO:0005737
PF3D7_0530200,GO:0009670
PF3D7_0507900,GO:0016021
PF3D7_1010200,GO:0005737
PF3D7_0908300,GO:0005216
PF3D7_1403700,GO:0065002
PF3D7_0201900,GO:0020036
PF3D7_0910700,GO:0005524
PF3D7_0501200,GO:0030430
PF3D7_0419700,GO:0020008
PF3D7_1014600,GO:0006355
PF3D7_1354700,GO:0003924
PF3D7_0925700,GO:0016575
PF3D7_0821700,GO:0005840
PF3D7_0617300,GO:0055114
PF3D7_0614300,GO:0016021
PF3D7_0508100,GO:0008270
PF3D7_1411400,GO:0006261
PF3D7_1318100,GO:0055114
PF3D7_0520400,GO:0003677
PF3D7_0503600,GO:0003779
PF3D7_1460700,GO:0006412
PF3D7_1354200,GO:0004445
PF3D7_1354800,GO:0006915
PF3D7_0828200,GO:0005524
PF3D7_1414400,GO:0005737
PF3D7_0727400,GO:0005839
PF3D7_0409200,GO:0005730
PF3D7_1216700,GO:0031982
PF3D7_0306500,GO:0005737
PF3D7_0530500,GO:0016021
PF3D7_1304000,GO:0007076
PF3D7_0523100,GO:0005739
PF3D7_1446200,GO:0008235
PF3D7_1351200,GO:0005975
PF3D7_1368300,GO:0005634
PF3D7_1326800,GO:0031201
PF3D7_1029200,GO:0005874
PF3D7_1464600,GO:0016787
PF3D7_1024600,GO:0005737
PF3D7_1003400,GO:0005524
